medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type,url_event,code,age
Bronze,3,2024-08-09,SONG Jiayuan,CHN,W,Athletics,Women's Shot Put,ATH,/en/paris-2024/results/athletics/women-s-shot-put/fnl-000100--,1919065,26.0
Gold,1,2024-08-09,ANA PATRICIA/DUDA,BRA,W,Beach Volleyball,Women,HTEAM,/en/paris-2024/results/beach-volleyball/women/fnl-000100--,VBVWTEAM2---BRA01,
Silver,2,2024-08-09,MELISSA/BRANDIE,CAN,W,Beach Volleyball,Women,HTEAM,/en/paris-2024/results/beach-volleyball/women/fnl-000100--,VBVWTEAM2---CAN01,
Bronze,3,2024-08-09,HUBERLI/BRUNNER,SUI,W,Beach Volleyball,Women,HTEAM,/en/paris-2024/results/beach-volleyball/women/fnl-000200--,VBVWTEAM2---SUI01,
Gold,1,2024-08-09,Asadkhuja MUYDINKHUJAEV,UZB,M,Boxing,Men's 71kg,HATH,/en/paris-2024/results/boxing/men-s-71kg/fnl-000100--,1556797,23.0
Silver,2,2024-08-09,Marco Alonso VERDE ALVAREZ,MEX,M,Boxing,Men's 71kg,HATH,/en/paris-2024/results/boxing/men-s-71kg/fnl-000100--,1535187,22.0
Gold,1,2024-08-09,Lazizbek MULLOJONOV,UZB,M,Boxing,Men's 92kg,HATH,/en/paris-2024/results/boxing/men-s-92kg/fnl-000100--,1556860,25.0
Silver,2,2024-08-09,Loren Berto ALFONSO DOMINGUEZ,AZE,M,Boxing,Men's 92kg,HATH,/en/paris-2024/results/boxing/men-s-92kg/fnl-000100--,1972343,28.0
Gold,1,2024-08-09,WU Yu,CHN,W,Boxing,Women's 50kg,HATH,/en/paris-2024/results/boxing/women-s-50kg/fnl-000100--,1926833,29.0
Silver,2,2024-08-09,Buse Naz CAKIROGLU,TUR,W,Boxing,Women's 50kg,HATH,/en/paris-2024/results/boxing/women-s-50kg/fnl-000100--,1568182,28.0
Gold,1,2024-08-09,Imane KHELIF,ALG,W,Boxing,Women's 66kg,HATH,/en/paris-2024/results/boxing/women-s-66kg/fnl-000100--,1540353,25.0
Silver,2,2024-08-09,YANG Liu,CHN,W,Boxing,Women's 66kg,HATH,/en/paris-2024/results/boxing/women-s-66kg/fnl-000100--,1926827,32.0
Gold,1,2024-08-09,AMI,JPN,W,Breaking,B-Girls,HATH,/en/paris-2024/results/breaking/b-girls/fnl-000100--,1953038,25.0
Silver,2,2024-08-09,NICKA,LTU,W,Breaking,B-Girls,HATH,/en/paris-2024/results/breaking/b-girls/fnl-000100--,1924559,17.0
Bronze,3,2024-08-09,671,CHN,W,Breaking,B-Girls,HATH,/en/paris-2024/results/breaking/b-girls/fnl-000200--,1909907,18.0
Gold,1,2024-08-09,Martin FUKSA,CZE,M,Canoe Sprint,Men's Canoe Single 1000m,ATH,/en/paris-2024/results/canoe-sprint/men-s-canoe-single-1000m/fnl---------,1878716,31.0
Silver,2,2024-08-09,Isaquias QUEIROZ,BRA,M,Canoe Sprint,Men's Canoe Single 1000m,ATH,/en/paris-2024/results/canoe-sprint/men-s-canoe-single-1000m/fnl---------,1952595,30.0
Bronze,3,2024-08-09,Serghei TARNOVSCHI,MDA,M,Canoe Sprint,Men's Canoe Single 1000m,ATH,/en/paris-2024/results/canoe-sprint/men-s-canoe-single-1000m/fnl---------,1550295,27.0
